drag_area_loaded_square_meters,rolling_ratio,bearing_res_per_axle_newtons,1-12 Bar to Stock - ALTRIOS Condfidential 3_segment_0: Total Pos. Cumu. Tractive Energy [J],1-12 Bar to Stock - ALTRIOS Condfidential 3_segment_1: Total Pos. Cumu. Tractive Energy [J],1-12 Bar to Stock - ALTRIOS Condfidential 3_segment_2: Total Pos. Cumu. Tractive Energy [J],1-12 Bar to Stock - ALTRIOS Condfidential 3_segment_7: Total Pos. Cumu. Tractive Energy [J],1-12 Bar to Stock: Total Pos. Cumu. Tractive Energy [J],1-20 Stock to Bar - ALTRIOS Condfidential 2_segment_1: Total Pos. Cumu. Tractive Energy [J],1-20 Stock to Bar - ALTRIOS Condfidential 2_segment_17: Total Pos. Cumu. Tractive Energy [J],1-23 Stock to Bar - ALTRIOS Condfidential 2_segment_5: Total Pos. Cumu. Tractive Energy [J],1-23 Stock to Bar - ALTRIOS Condfidential 2_segment_7: Total Pos. Cumu. Tractive Energy [J],1-26 Bar to Stock - ALTRIOS Condfidential 2_segment_0: Total Pos. Cumu. Tractive Energy [J],1-26 Bar to Stock - ALTRIOS Condfidential 2_segment_3: Total Pos. Cumu. Tractive Energy [J],1-26 Bar to Stock - ALTRIOS Condfidential 2_segment_7: Total Pos. Cumu. Tractive Energy [J],1-4 Bar to Stock - ALTRIOS Condfidential 3_segment_1: Total Pos. Cumu. Tractive Energy [J],1-4 Bar to Stock - ALTRIOS Condfidential 3_segment_5: Total Pos. Cumu. Tractive Energy [J],1-4 Bar to Stock - ALTRIOS Condfidential 3_segment_9: Total Pos. Cumu. Tractive Energy [J],1-6 Stock to Bar - ALTRIOS Condfidential 2_segment_3: Total Pos. Cumu. Tractive Energy [J],2-10 Bar to Stock - ALTRIOS Condfidential 1_segment_1: Total Pos. Cumu. Tractive Energy [J],2-10 Bar to Stock - ALTRIOS Condfidential 1_segment_13: Total Pos. Cumu. Tractive Energy [J],2-17 Stock to Bar - ALTRIOS Condfidential 1_segment_2: Total Pos. Cumu. Tractive Energy [J],2-17 Stock to Bar - ALTRIOS Condfidential 1_segment_8: Total Pos. Cumu. Tractive Energy [J],2-2 Bar to Stock - ALTRIOS Condfidential 5_segment_9: Total Pos. Cumu. Tractive Energy [J],2-24 Stock to Bar - ALTRIOS Condfidential 3_segment_3: Total Pos. Cumu. Tractive Energy [J],2-24 Stock to Bar - ALTRIOS Condfidential 3_segment_6: Total Pos. Cumu. Tractive Energy [J],2-3 Stock to Bar - ALTRIOS Condfidential 1_segment_7: Total Pos. Cumu. Tractive Energy [J],2-3 Stock to Bar - ALTRIOS Condfidential 2_segment_1: Total Pos. Cumu. Tractive Energy [J],2-7 Stock to Bar - ALTRIOS Condfidential 2_segment_2: Total Pos. Cumu. Tractive Energy [J],2-7 Stock to Bar - ALTRIOS Condfidential 2_segment_7: Total Pos. Cumu. Tractive Energy [J],2-7 Stock to Bar - ALTRIOS Condfidential 2_segment_9: Total Pos. Cumu. Tractive Energy [J],3-10 Stock to Bar - ALTRIOS Condfidential 1_segment_3: Total Pos. Cumu. Tractive Energy [J],3-16 Bar to Stock - ALTRIOS Condfidential 1_segment_4: Total Pos. Cumu. Tractive Energy [J],3-2 Bar to Stock - ALTRIOS Condfidential 3_segment_6: Total Pos. Cumu. Tractive Energy [J],3-20 Stock to Bar - ALTRIOS Condfidential 3_segment_5: Total Pos. Cumu. Tractive Energy [J],3-30 Bar to Stock - ALTRIOS Condfidential 2_segment_1: Total Pos. Cumu. Tractive Energy [J],3-30 Bar to Stock - ALTRIOS Condfidential 2_segment_19: Total Pos. Cumu. Tractive Energy [J],3-30 Bar to Stock - ALTRIOS Condfidential 2_segment_2: Total Pos. Cumu. Tractive Energy [J],3-30 Bar to Stock - ALTRIOS Condfidential 2_segment_3: Total Pos. Cumu. Tractive Energy [J],3-30 Bar to Stock - ALTRIOS Condfidential 2_segment_30: Total Pos. Cumu. Tractive Energy [J],3-30 Bar to Stock - ALTRIOS Condfidential 2_segment_33: Total Pos. Cumu. Tractive Energy [J],3-30 Bar to Stock - ALTRIOS Condfidential 2_segment_5: Total Pos. Cumu. Tractive Energy [J],3-7 Bar to Stock - ALTRIOS Condfidential 1_segment_6: Total Pos. Cumu. Tractive Energy [J],4-1 Stock to Bar - ALTRIOS Condfidential 1_segment_3: Total Pos. Cumu. Tractive Energy [J],4-1 Stock to Bar - ALTRIOS Condfidential 1_segment_6: Total Pos. Cumu. Tractive Energy [J]
1.7577535511048321,0.0017935377341687878,40.42670145168037,486306370.85045564,102014693.64934656,296748634.42030126,850540772.8265066,19487825865.138126,283843205.53257495,479237714.9050942,249799706.61505765,398967123.363408,237362568.29013738,506215430.9383966,232110397.56395513,855113782.7194948,302888100.88488793,95572416.29486665,49893334.20148123,564645959.5882778,44524904.01428091,23222460.74683788,55168788.03296833,675339208.9690086,374337460.3267014,351532891.50617576,39921036.83222716,84143861.70490092,218426738.59888953,14907529.485112116,9431325.010648195,19041069.253525425,503923794.4425718,382876402.2754421,204598393.95504135,180803030.3176565,536525320.41696775,285010268.90476876,32842703.520722296,2872065158.145639,1660630871.977051,68505541.37621354,53034350.13196827,243003008.70196688,13729127.969986372
2.748098265764885,0.0016646253812937152,40.09608606903477,489671848.9463836,102916682.56287274,270198009.0742087,726136042.9535718,22286935357.004898,291551601.1851129,528028842.8979856,269731108.54410475,433460329.4760101,208550253.35474673,362674157.9732165,237445858.4936194,918572644.1401522,344738600.75806063,96596519.751863,21034174.506323185,575676524.0631149,43673808.11603913,41465935.99815538,31246764.23900808,745580256.4511132,384943393.36652905,372215601.60403657,39123081.68518199,86207551.5291758,436466267.272802,18446279.37468435,12161234.364646995,33128473.306731697,453047263.8633791,294516666.4108779,208022793.25503403,187231879.20011625,548187124.4432913,290704174.82765615,31204261.849838864,2887515796.9713097,1659302154.4261377,69437566.97923689,51404041.42626272,294610921.6932857,13328902.57390236
1.0854880173456636,0.0023174828294038594,41.27319258757983,424068725.36348283,81137302.8483709,233351187.23316127,829056115.0181116,27755546024.515835,305525639.11454123,491156924.02973056,304833924.86466056,444042444.8314025,203869313.62897262,470922179.88285,282036146.72788525,883576010.7079176,337493655.7022781,113983384.68024334,46787422.218258224,512395716.7280126,78815541.88237292,45970473.38944498,59235393.288158685,759260039.182118,405539879.1668402,374012863.3679175,52316227.7336831,96599882.55111556,145730239.1827097,18798681.114270303,19318756.009857606,47159617.65653069,328879518.5145504,343217764.9349723,216698862.56687093,148975604.42071468,579577574.6822529,255521674.5814706,59314643.63540242,2916695186.961025,1694972503.839187,89516210.94836698,39035730.30609976,259154922.77721038,19679790.689563405
1.1947976340088289,0.0023753001686494368,40.23003450225845,415385364.9985375,79881273.89084673,219452454.20460364,803001043.8623575,29606792416.276127,310387597.18494725,503254497.6570812,317448882.72706246,458253482.9169914,204472594.9136396,434560112.74745387,290902818.22961766,901338793.4948097,351589392.9408187,116969710.70722859,33876798.32788147,506633759.2544902,89217140.58116317,36083709.23345159,52982404.75928222,787128879.0748417,412382203.887505,381686046.64715755,53968688.792695485,98862988.29965082,180696551.09230924,20947380.58293945,21424477.045159988,54400546.636861704,291001711.66416204,318177597.38958246,219226230.1757484,145484635.2469934,588666655.4700787,252228341.66510567,65652217.08187725,2926837670.357227,1699944558.212607,92981981.95111541,38106514.89841085,272070013.0052447,20436557.614303764
1.5200319049086204,0.0021191243908690693,40.96271893534536,445051025.37831235,86938701.31836791,246571416.63371602,812600476.5716916,25684864255.958496,300177775.92597955,497956487.77778447,291333434.601256,436955484.86097103,206184437.80455056,451016360.19966024,266998725.23842028,888212823.6132225,335414644.34112513,108234618.78025645,34767533.60731604,531765063.1041545,58622619.92104225,24647872.51092146,50619156.357303694,747356424.1464304,397727561.9825913,371244205.7764063,48122154.904119916,93005758.0244261,216983913.28629616,17667999.741977774,16341719.136973709,40916728.86759934,374499654.88089514,336780607.2064464,213522538.8609682,160700033.71431386,568155595.1888931,266334678.89742282,46952864.77175883,2905589120.137897,1683538533.2824721,82721296.57999392,42187061.081789985,265210846.9862266,17663648.269642662
2.088830879498868,0.0018385908803395749,44.02433636347635,472831594.52292746,96058529.98803672,266218603.90813097,785524204.2096645,22920824217.024242,293251208.30564564,506979901.246605,273228084.83966076,427245633.43408364,210090131.50848418,426923614.37488437,246523429.3623109,894171864.519115,332596113.55204266,100680265.2630898,18511039.66109234,557969130.158489,45513096.17611488,5568447.110811424,38676812.835840486,730630621.0381958,387795927.9301125,367884581.5180354,42746640.527784355,88443598.73355669,311478458.3599998,17229371.638664518,13155358.870745389,33207869.88867419,437122118.2191238,329464211.9171523,209405418.2202633,176333435.81519368,552694231.4233809,280743616.1189107,34670856.18345508,2890499709.523167,1668237039.442719,73865213.50136037,47774257.39038266,274567689.10793096,15183255.556535387
1.7330740999244585,0.0023188174127730526,41.18088985002523,414639887.94893837,81529067.52582863,202643846.5830513,728659197.8130127,31603300104.132256,315847690.55489236,531899536.58798856,331320803.08750826,480036992.9925389,217342206.90747628,351015854.2371764,296032138.91121626,939109732.7629163,377224865.6523507,118402198.88628739,9782079.478278747,510825377.24832493,93030290.21695071,2567134.5452013025,33784977.51181257,831033421.8257433,420006113.5258294,394703641.16108906,54120502.727872245,100663931.74535601,303085413.33628076,24165774.09953794,23378293.38160463,64152891.19538944,254467248.82037243,265888197.56989315,221768695.33937764,147786667.75000843,597204425.7928119,254217002.0865471,68255977.64577076,2937613825.0053644,1700665292.5988278,94299576.16774262,38489679.72047082,302945898.9679235,20532544.072779335
2.7847028581893416,0.0018594492795481698,41.96582094466481,461483728.6544992,94219915.0432944,229141170.2415353,669596286.5763375,27266611652.41433,304767134.6164178,551470311.5514706,303123468.8918793,467356062.8257971,218160722.89002496,294663367.0303896,262940042.51806322,955147682.11995,376436066.117769,105776110.44135705,35597928.64283481,555023554.4146936,51090693.225744314,54098724.94094428,30903619.48729747,810673873.474598,403843132.81573355,390600224.1340964,44825727.11902019,92973971.91071318,481173682.9236299,21718876.36226641,17439931.741697453,51875395.46828864,351941798.74757034,244019375.45046106,215079997.28534356,174423316.62472934,572807875.9537772,278753044.6488647,40904618.17536782,2914246046.472089,1675123548.226863,79424256.80692701,44402452.52409511,321697775.52565074,16107795.130754828
1.7897116672267699,0.0021191243908690693,40.96271893534536,441172135.57193226,86765244.83367066,233464793.05392694,769030285.5878859,27269870908.379833,304457275.6713064,514891485.35538524,302308222.97031564,451889692.45773894,206312243.41989025,401202535.49901825,272778871.2786107,911285271.54037,351912744.7427088,110060379.65714267,15044114.037887448,531153621.9977289,64480305.19218499,5849068.855060714,40026833.345728755,777130304.7867138,403725949.91065884,379836708.4710837,48866076.04639257,94689418.17357641,282470947.0504397,19617517.691466108,18016618.455981836,47970066.34025705,343693645.0814748,304663332.55437624,215623642.1727241,160227962.45643383,575452827.2076741,265813098.4491104,50642210.27495683,2914253656.219085,1685880842.728732,84683026.46070635,41340648.76594515,283425431.5093321,18016364.0564003
1.003073194697956,0.0022930211431518113,41.84891532876422,428164761.2227375,81721341.45893492,240919601.40467548,843703861.6759466,26776869415.3563,302947000.14885885,483854969.4218802,298134278.2896391,436136393.19571596,207236534.5726358,492818447.9139469,277577639.7245792,873093841.1700176,329429492.6470565,112509058.31134582,54799995.248707,514865876.2547331,73701454.83930728,52645681.19466831,63241784.44059204,743673850.5649079,401922581.50454456,369691402.4308919,51543516.768339455,95447232.3496141,122339468.94717471,17680332.20075662,18238151.883111507,43239093.03817225,348761393.9055113,357978632.0166669,215375869.56820637,150476205.61504543,574827579.9088967,256947670.4779993,56197052.4666501,2911322174.1302557,1692603392.2686775,87823520.00217925,39637731.38698301,251396984.89996922,19328848.133019164
2.835283356514286,0.0017443346260308658,40.14717880929511,477679583.31330633,98910514.09411323,249459798.2320623,692164853.8930923,24653878518.134205,297826449.8099615,541688911.6889029,285750196.2657134,450746338.5947823,212217094.4816668,322406586.7540965,249062604.18136084,939038217.7169082,361528855.5471332,100660430.38709897,29756643.077375337,567326690.358105,45073076.41316693,51411204.77064096,31353479.356134344,779131571.5218282,393848497.7482461,381627355.304797,41516284.17479089,89263441.28710422,471306189.12223065,19904282.27607023,14547695.625711504,41906618.68904047,404913226.7694327,266002532.92049068,211323528.2743033,182077031.43531683,559820478.1135472,285873138.1701403,33663735.022630095,2900346268.605173,1666144079.612677,73848524.45858367,47872874.65707729,309778317.5952086,14472426.753288431
1.0365488713416169,0.0021518062933087137,56.44895181610923,436264162.793956,83608975.3323962,250212881.01963845,852049881.0618075,25516397105.199272,300532535.2883795,481027828.0896256,289364174.9380156,427868690.5898095,214397639.00810024,510972254.4046365,268464163.80719227,866834103.1873299,323440887.64094406,110298995.44565512,55283339.00846024,523805312.1509519,61304316.2374062,49648671.752475046,61356515.63596174,726456942.5732876,399194774.0959438,367457779.9179929,50685352.5402024,94544096.27518846,126545487.54699339,17415167.24256415,17791419.0926944,41389847.73033202,382020327.9709039,370744204.8637809,214062729.23219195,154895657.53507248,567405607.1036892,261063414.42183533,50078166.94036776,2903391901.915932,1687430410.985942,84476109.13369356,40881505.158591814,253515077.70247588,19356775.575812615
