Project,Scenario,Dollar_year,Weather_year,Start_day,country
Cambium_2022,MidCase,2021$,2012,Sunday,usa
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Geography,Time,Time,Time,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation
AZNMc,MT,2024,8,6035911.6,5447872.3,3443613.2,7127091.0,0.034,0.0489,0.79,0.78,134.6,10.0,1.4,10.3,471.0,0.09,135.3,24.4,159.6,153.2,12.0,1.69,11.0,516.3,0.1,154.1,26.4,180.5,187.7,4.4,0.48,21.4,955.4,0.08,187.9,49.9,237.9,497.8,40.5,5.74,31.4,1619.5,0.25,500.5,79.7,580.2,18.38,0.0,0.0,18.38,19.49,0.0,0.0,19.49,9741163.0
AZNMc,MT,2024,9,6288660.8,5645859.1,3541774.8,7476261.0,0.0347,0.051,0.8,0.79,124.3,9.2,1.29,9.6,436.2,0.08,124.9,22.6,147.5,142.7,11.1,1.57,10.3,481.8,0.09,143.4,24.7,168.1,174.1,4.0,0.43,20.0,888.7,0.08,174.3,46.5,220.8,515.4,41.4,5.87,33.0,1693.2,0.26,518.3,83.5,601.8,19.06,0.0,0.0,19.06,20.12,0.0,0.0,20.12,10251181.0
AZNMc,MT,2024,10,6448755.5,5857694.4,3528745.2,7381784.0,0.0356,0.0534,0.8,0.79,128.0,9.6,1.35,9.7,445.6,0.09,128.7,23.0,151.7,146.8,11.5,1.63,10.5,493.0,0.09,147.6,25.2,172.9,173.1,3.9,0.42,19.9,885.2,0.08,173.4,46.3,219.6,558.5,44.6,6.32,35.7,1842.6,0.28,561.6,90.7,652.2,20.91,0.0,0.0,20.91,22.11,0.0,0.0,22.11,10330544.0
AZNMc,MT,2024,11,6588259.1,6043993.1,3522852.0,7236143.0,0.0364,0.0557,0.79,0.78,132.2,10.0,1.41,9.9,456.7,0.09,132.9,23.6,156.4,150.3,11.9,1.68,10.7,502.3,0.1,151.1,25.7,176.8,173.6,3.9,0.43,19.9,886.2,0.08,173.8,46.3,220.1,554.0,41.2,5.79,38.1,1925.5,0.27,556.8,95.5,652.3,21.73,0.0,0.0,21.73,23.05,0.0,0.0,23.05,10329416.0
AZNMc,MT,2024,12,6679659.8,6190662.2,3555431.2,7138546.5,0.0371,0.0575,0.79,0.78,133.9,10.1,1.43,10.1,462.5,0.09,134.6,23.9,158.5,150.2,11.8,1.67,10.8,504.5,0.1,151.0,25.8,176.8,172.3,3.9,0.43,19.7,879.5,0.08,172.5,46.0,218.5,559.9,41.9,5.9,38.2,1935.2,0.27,562.7,95.9,658.6,21.93,0.0,0.0,21.93,23.33,0.0,0.0,23.33,10291903.0
AZNMc,MT,2024,13,6868908.8,6338486.9,3617518.5,7144623.0,0.0379,0.0595,0.79,0.78,133.9,10.1,1.42,10.1,463.7,0.09,134.6,23.9,158.5,149.7,11.7,1.65,10.8,506.0,0.1,150.5,25.9,176.4,170.1,3.9,0.42,19.5,868.1,0.07,170.3,45.4,215.7,595.9,46.9,6.62,38.6,1987.7,0.29,599.1,97.9,697.0,22.24,0.0,0.0,22.24,23.73,0.0,0.0,23.73,10427122.0
AZNMc,MT,2024,14,7044815.1,6467396.5,3549054.5,6875225.5,0.0386,0.0612,0.79,0.78,133.6,10.0,1.4,10.1,465.4,0.09,134.3,24.0,158.3,149.4,11.5,1.62,10.9,509.5,0.1,150.2,26.1,176.3,170.6,3.9,0.42,19.6,871.0,0.08,170.8,45.5,216.4,552.7,39.9,5.61,39.2,1943.4,0.28,555.4,97.2,652.6,21.94,0.0,0.0,21.94,23.52,0.0,0.0,23.52,10403290.0
AZNMc,MT,2024,15,7062181.0,6571156.9,3351030.5,6416584.5,0.0391,0.0625,0.77,0.76,148.6,11.2,1.58,11.0,512.3,0.1,149.4,26.3,175.7,163.5,12.7,1.79,11.8,554.7,0.1,164.4,28.4,192.7,172.4,3.9,0.42,19.9,879.2,0.08,172.6,46.1,218.7,572.2,39.6,5.54,42.0,2067.4,0.29,574.9,103.7,678.6,23.32,0.0,0.0,23.32,25.02,0.0,0.0,25.02,10156933.0
AZNMc,MT,2024,16,7032862.5,6645068.7,3028389.0,5074608.5,0.0393,0.0631,0.69,0.69,198.6,14.8,2.08,14.8,692.3,0.12,199.6,35.4,235.0,206.0,15.4,2.17,15.3,716.2,0.13,207.1,36.6,243.7,199.6,4.4,0.48,23.1,1017.9,0.09,199.9,53.4,253.3,584.0,34.8,4.82,48.3,2253.2,0.31,586.4,115.5,701.9,27.63,0.24,0.0,27.88,29.56,0.27,0.0,29.83,9094446.0
AZNMc,MT,2024,17,7085024.2,6721814.5,2849403.2,3566810.5,0.0393,0.0631,0.58,0.6,266.6,19.6,2.75,19.8,937.1,0.16,267.9,47.8,315.7,262.4,19.4,2.73,19.4,917.2,0.16,263.7,46.8,310.5,248.5,5.6,0.61,28.6,1268.4,0.11,248.8,66.4,315.2,708.3,47.5,6.7,54.0,2534.4,0.39,711.5,129.6,841.1,32.33,2.25,0.0,34.58,34.52,2.47,0.0,36.99,7815727.0
AZNMc,MT,2024,18,7115112.9,6755419.5,2843762.2,2955378.5,0.0389,0.0625,0.5,0.54,313.7,22.5,3.15,23.7,1115.9,0.19,315.2,57.1,372.3,301.3,21.9,3.08,22.5,1061.0,0.18,302.8,54.1,356.9,288.7,6.2,0.67,33.4,1479.3,0.13,289.0,77.6,366.6,728.3,44.5,6.34,60.8,2636.8,0.48,731.4,139.5,870.9,35.92,56.69,0.0,92.61,38.33,61.78,0.0,100.11,7238222.5
AZNMc,MT,2024,19,7036014.5,6673511.5,3039181.5,3138196.0,0.0384,0.0613,0.47,0.52,328.3,23.2,3.24,25.1,1178.8,0.19,329.9,60.3,390.2,312.1,22.4,3.14,23.5,1108.2,0.18,313.6,56.5,370.2,307.8,6.6,0.73,35.8,1567.6,0.15,308.2,82.6,390.8,736.8,44.2,6.31,62.5,2680.3,0.49,739.8,142.5,882.3,36.78,88.63,0.0,125.41,39.22,96.42,0.0,135.64,7145427.0
AZNMc,MT,2024,20,6869780.6,6513407.4,3154152.5,3294442.5,0.0378,0.0596,0.47,0.53,328.1,23.4,3.28,24.9,1172.7,0.19,329.6,59.9,389.5,309.8,22.5,3.15,23.1,1095.4,0.18,311.3,55.8,367.1,302.0,6.4,0.69,35.1,1552.4,0.13,302.4,81.4,383.8,676.7,43.6,6.08,52.4,2526.9,0.34,679.7,127.8,807.5,34.65,50.92,0.0,85.57,36.87,55.35,0.0,92.22,7019863.0
AZNMc,MT,2024,21,6562822.5,6217604.7,3310258.5,3586423.5,0.0367,0.0567,0.47,0.53,329.7,23.8,3.34,24.8,1170.6,0.19,331.3,59.7,391.0,310.4,22.8,3.2,22.9,1090.4,0.18,311.9,55.4,367.3,298.9,6.4,0.68,34.7,1537.2,0.13,299.3,80.5,379.8,749.0,56.3,7.96,50.7,2553.2,0.37,752.8,126.9,879.7,33.81,14.8,0.0,48.61,35.85,16.08,0.0,51.93,6849847.0
AZNMc,MT,2024,22,6133403.2,5806796.7,3493190.8,3736722.5,0.0354,0.0529,0.45,0.52,342.0,24.9,3.49,25.6,1209.8,0.2,343.7,61.7,405.4,314.4,23.1,3.25,23.1,1102.9,0.18,316.0,56.0,372.0,318.9,7.1,0.78,36.7,1628.3,0.14,319.3,85.3,404.6,741.0,57.5,8.11,48.2,2497.4,0.35,745.0,122.8,867.7,33.14,0.85,0.0,33.99,34.99,0.93,0.0,35.93,6384839.5
AZNMc,MT,2024,23,5714444.9,5409708.9,3586582.8,3720934.0,0.0341,0.0491,0.43,0.5,359.0,26.4,3.71,26.7,1260.9,0.21,360.8,64.3,425.1,323.5,23.8,3.34,23.8,1135.8,0.19,325.2,57.7,382.9,328.1,7.3,0.79,37.7,1678.6,0.14,328.5,87.8,416.3,778.9,64.2,9.14,47.4,2485.0,0.39,783.3,121.6,904.9,32.12,0.0,0.0,32.12,33.78,0.0,0.0,33.78,5857197.5
AZNMc,MT,2026,0,5541567.6,5217276.7,4940287.5,4714195.5,0.0332,0.046,0.46,0.57,351.9,27.0,3.81,25.4,1201.0,0.22,353.7,61.2,415.0,283.8,21.2,2.99,20.8,985.3,0.17,285.3,50.2,335.4,240.6,6.8,0.81,26.4,1184.5,0.11,241.0,61.7,302.7,678.9,49.4,6.94,47.1,2385.7,0.32,682.3,118.3,800.6,30.92,0.0,0.0,30.92,32.41,0.0,0.0,32.41,5320425.5
AZNMc,MT,2026,1,5303986.8,4993694.7,4831012.0,4582387.5,0.0326,0.0438,0.44,0.55,365.3,28.2,3.98,26.2,1241.6,0.23,367.2,63.3,430.5,292.7,22.0,3.09,21.3,1013.3,0.18,294.2,51.6,345.8,252.6,7.4,0.88,27.5,1238.0,0.11,253.1,64.4,317.5,660.9,47.0,6.59,46.9,2359.6,0.31,664.1,117.3,781.5,30.5,0.0,0.0,30.5,31.91,0.0,0.0,31.91,5060461.5
AZNMc,MT,2026,2,5153888.1,4853905.0,4708036.0,4477592.5,0.0322,0.0424,0.43,0.55,372.3,28.9,4.08,26.6,1260.5,0.23,374.3,64.2,438.5,298.4,22.5,3.17,21.7,1030.1,0.18,300.0,52.4,352.4,258.8,7.4,0.88,28.3,1272.8,0.11,259.2,66.3,325.5,682.6,50.6,7.12,46.7,2370.1,0.33,686.1,117.4,803.5,30.24,0.0,0.0,30.24,31.58,0.0,0.0,31.58,4927385.0
AZNMc,MT,2026,3,5080849.6,4789224.2,4552417.5,4340313.5,0.032,0.0417,0.43,0.54,374.6,29.2,4.12,26.7,1264.9,0.23,376.6,64.4,441.0,301.6,22.9,3.22,21.8,1037.7,0.18,303.1,52.8,356.0,263.9,7.6,0.91,28.8,1295.8,0.12,264.4,67.5,331.9,659.9,47.6,6.67,46.2,2336.4,0.31,663.2,115.9,779.0,30.09,0.0,0.0,30.09,31.41,0.0,0.0,31.41,4872417.0
AZNMc,MT,2026,4,5117565.8,4830688.4,4374692.5,4156531.5,0.032,0.042,0.43,0.54,373.0,29.0,4.1,26.6,1260.4,0.23,375.0,64.2,439.2,302.5,23.0,3.24,21.9,1038.7,0.18,304.1,52.9,356.9,260.0,7.3,0.87,28.5,1281.6,0.12,260.5,66.8,327.2,650.4,45.7,6.38,46.7,2342.6,0.31,653.5,116.6,770.1,30.2,0.0,0.0,30.2,31.52,0.0,0.0,31.52,4903631.0
AZNMc,MT,2026,5,5283558.7,4991229.9,4230563.5,4143207.2,0.0324,0.0433,0.46,0.56,350.4,27.1,3.82,25.1,1190.2,0.22,352.3,60.7,412.9,290.7,22.0,3.1,21.1,1000.9,0.18,292.2,50.9,343.2,246.7,7.2,0.86,26.8,1207.9,0.11,247.2,62.9,310.0,714.6,55.1,7.77,46.7,2419.3,0.34,718.4,118.9,837.3,30.34,0.0,0.0,30.34,31.72,0.0,0.0,31.72,5199636.5
AZNMc,MT,2026,6,5571189.2,5224206.2,4245908.5,5339062.5,0.0329,0.0454,0.63,0.66,242.5,19.1,2.7,17.3,813.0,0.15,243.8,41.5,285.3,232.2,18.2,2.58,16.3,779.3,0.14,233.4,39.6,273.0,186.2,5.5,0.65,20.3,911.1,0.08,186.5,47.4,233.9,595.0,38.7,5.36,45.7,2241.5,0.28,597.6,112.6,710.2,27.91,0.0,0.0,27.91,29.3,0.0,0.0,29.3,6667660.5
AZNMc,MT,2026,7,6144758.0,5404982.0,4417733.0,7153981.0,0.0334,0.0472,0.77,0.76,148.1,11.5,1.62,10.9,503.0,0.1,148.9,25.9,174.8,162.7,12.8,1.81,11.6,546.1,0.1,163.6,27.9,191.5,133.5,4.1,0.49,14.4,648.3,0.06,133.7,33.7,167.4,501.5,37.7,5.3,34.0,1728.9,0.25,504.1,85.6,589.7,19.97,0.0,0.0,19.97,21.54,0.0,0.0,21.54,8885958.0
AZNMc,MT,2026,8,6599311.3,5579186.4,4508945.5,8508019.0,0.034,0.0488,0.84,0.83,104.6,7.9,1.12,8.0,361.0,0.07,105.2,18.7,123.9,119.9,9.6,1.36,8.5,397.3,0.08,120.5,20.4,140.9,85.9,2.6,0.32,9.3,417.8,0.04,86.1,21.7,107.8,444.6,38.1,5.43,26.1,1383.8,0.23,447.3,67.4,514.7,15.03,0.0,0.0,15.03,16.26,0.0,0.0,16.26,10621738.0
AZNMc,MT,2026,9,6952866.2,5783523.4,4457179.0,8661153.0,0.0347,0.0509,0.85,0.84,96.3,7.3,1.02,7.4,333.1,0.07,96.8,17.3,114.1,111.3,8.9,1.25,8.0,370.1,0.07,111.9,19.0,130.9,72.5,2.2,0.27,7.8,351.4,0.03,72.6,18.3,90.9,440.2,37.5,5.33,26.6,1381.0,0.23,442.8,67.9,510.7,15.39,0.0,0.0,15.39,16.36,0.0,0.0,16.36,11184718.0
AZNMc,MT,2026,10,7112178.6,6001821.4,4434040.0,8538033.0,0.0355,0.0533,0.85,0.84,98.8,7.5,1.06,7.5,339.4,0.07,99.3,17.6,116.9,113.2,9.0,1.28,8.1,376.1,0.07,113.9,19.3,133.2,70.9,2.1,0.26,7.7,345.3,0.03,71.1,18.0,89.0,534.9,46.9,6.69,30.6,1634.4,0.27,538.1,79.4,617.6,17.69,0.0,0.0,17.69,18.82,0.0,0.0,18.82,11244712.0
AZNMc,MT,2026,11,7135535.8,6198226.0,4463007.5,8487325.0,0.0364,0.0556,0.84,0.83,101.6,7.8,1.1,7.7,347.7,0.07,102.1,18.0,120.1,115.1,9.2,1.3,8.2,382.3,0.08,115.7,19.6,135.4,71.5,2.2,0.27,7.7,346.5,0.03,71.7,18.0,89.7,535.2,45.3,6.45,32.0,1684.4,0.27,538.3,82.3,620.6,18.43,0.0,0.0,18.43,19.62,0.0,0.0,19.62,11187599.0
AZNMc,MT,2026,12,7143211.8,6354984.4,4599287.5,8544856.0,0.0371,0.0575,0.84,0.83,102.6,7.9,1.11,7.7,351.3,0.07,103.2,18.2,121.4,114.9,9.1,1.29,8.2,383.4,0.08,115.5,19.7,135.2,70.0,2.2,0.26,7.5,338.8,0.03,70.1,17.6,87.7,518.9,41.9,5.94,32.8,1698.0,0.26,521.7,83.5,605.3,18.48,0.0,0.0,18.48,19.73,0.0,0.0,19.73,11117499.0
AZNMc,MT,2026,13,7344782.2,6510403.3,4669131.5,8543840.0,0.0379,0.0595,0.84,0.83,102.7,7.9,1.11,7.7,351.6,0.07,103.3,18.2,121.5,115.1,9.1,1.29,8.3,385.3,0.08,115.8,19.8,135.5,67.3,2.1,0.26,7.2,325.1,0.03,67.5,16.9,84.4,520.9,41.7,5.9,33.3,1716.0,0.26,523.7,84.5,608.2,18.81,0.0,0.0,18.81,20.17,0.0,0.0,20.17,11250241.0
AZNMc,MT,2026,14,7556280.2,6644234.6,4413030.5,8055645.0,0.0386,0.0612,0.84,0.83,103.4,7.9,1.11,7.8,355.0,0.07,104.0,18.4,122.4,116.3,9.1,1.28,8.4,391.7,0.08,116.9,20.1,137.0,67.2,2.1,0.25,7.2,325.9,0.03,67.3,17.0,84.3,518.2,41.2,5.84,33.3,1712.7,0.26,521.0,84.4,605.4,18.55,0.0,0.0,18.55,20.07,0.0,0.0,20.07,11231242.0
AZNMc,MT,2026,15,7431310.0,6758554.1,4060640.5,7429774.5,0.0391,0.0625,0.82,0.81,118.2,9.2,1.3,8.7,399.2,0.08,118.8,20.6,139.4,129.0,10.2,1.44,9.2,431.5,0.08,129.7,22.1,151.8,67.7,2.0,0.24,7.4,329.7,0.03,67.8,17.2,85.0,544.7,41.5,5.88,37.0,1833.6,0.29,547.6,91.7,639.3,20.11,0.0,0.0,20.11,21.79,0.0,0.0,21.79,10830122.0
AZNMc,MT,2026,16,7272611.6,6849259.3,3389212.8,5646623.0,0.0394,0.0633,0.74,0.74,171.0,13.1,1.85,12.4,583.3,0.11,171.9,29.8,201.7,174.9,13.2,1.86,12.9,603.3,0.11,175.8,30.9,206.7,93.8,2.6,0.32,10.4,458.1,0.05,94.0,24.0,118.0,561.0,33.1,4.56,46.3,2202.0,0.28,563.3,111.9,675.2,26.08,0.0,0.0,26.08,27.95,0.0,0.0,27.95,9543979.0
AZNMc,MT,2026,17,7335192.5,6941154.7,3592928.8,4306872.0,0.0394,0.0635,0.64,0.67,233.2,17.6,2.48,17.0,804.0,0.14,234.4,41.0,275.4,221.0,16.5,2.31,16.4,769.5,0.14,222.1,39.3,261.4,140.0,4.0,0.47,15.3,687.6,0.06,140.3,35.9,176.1,672.3,44.8,6.28,51.1,2449.6,0.35,675.4,124.2,799.6,31.53,1.52,0.0,33.06,33.67,1.68,0.0,35.35,8060297.5
AZNMc,MT,2026,18,7379117.1,6977086.2,4025530.5,4017203.5,0.039,0.0628,0.57,0.62,276.4,20.4,2.87,20.6,965.8,0.17,277.7,49.4,327.1,253.9,18.6,2.61,18.9,890.9,0.15,255.2,45.5,300.7,176.8,4.7,0.54,19.7,879.1,0.08,177.1,46.0,223.1,673.9,37.6,5.25,58.7,2614.4,0.39,676.4,136.7,813.1,34.87,75.58,0.0,110.45,37.23,82.17,0.0,119.4,7380397.0
AZNMc,MT,2026,19,7282611.6,6874053.0,4443562.0,4423888.5,0.0384,0.0615,0.54,0.6,289.2,21.0,2.95,21.8,1020.8,0.18,290.7,52.3,342.9,261.9,18.9,2.65,19.7,927.5,0.16,263.2,47.4,310.6,197.4,5.1,0.6,22.3,974.2,0.1,197.7,51.4,249.1,681.1,37.8,5.36,60.5,2573.1,0.45,683.7,137.3,821.0,35.14,121.69,0.0,156.83,37.48,132.1,0.0,169.58,7272300.0
AZNMc,MT,2026,20,7091433.3,6689569.7,4625926.5,4632932.5,0.0378,0.0596,0.54,0.61,289.1,21.3,2.99,21.5,1013.5,0.17,290.6,51.8,342.3,258.5,18.9,2.66,19.2,909.4,0.15,259.8,46.4,306.2,190.0,4.9,0.56,21.3,950.2,0.09,190.3,49.7,240.0,655.2,40.6,5.64,52.4,2488.8,0.33,657.9,126.7,784.6,33.28,66.72,0.0,100.0,35.41,72.34,0.0,107.75,7108497.5
AZNMc,MT,2026,21,6767528.2,6377862.0,4808508.5,4922858.5,0.0367,0.0567,0.54,0.61,291.8,21.7,3.05,21.5,1016.5,0.18,293.3,51.9,345.2,258.2,19.1,2.68,19.0,902.5,0.15,259.5,46.0,305.5,188.0,4.9,0.57,21.0,938.4,0.08,188.3,49.0,237.3,684.6,47.1,6.57,50.0,2495.5,0.32,687.8,124.4,812.2,32.64,18.51,0.0,51.15,34.61,20.07,0.0,54.68,6892091.0
AZNMc,MT,2026,22,6316568.5,5949862.0,4934053.5,4911197.5,0.0353,0.0528,0.5,0.59,316.5,23.7,3.33,23.2,1097.8,0.19,318.1,56.0,374.1,267.4,19.8,2.79,19.6,933.5,0.16,268.8,47.5,316.3,210.1,5.8,0.68,23.2,1036.4,0.1,210.4,54.1,264.5,654.9,43.3,6.03,49.6,2424.6,0.32,657.8,122.0,779.8,32.67,0.91,0.0,33.58,34.51,1.0,0.0,35.5,6300508.0
AZNMc,MT,2026,23,5880536.9,5536541.1,5013658.0,4854826.5,0.0341,0.049,0.48,0.58,334.7,25.4,3.58,24.3,1150.6,0.2,336.4,58.7,395.1,274.7,20.5,2.88,20.1,956.6,0.16,276.1,48.7,324.8,222.9,6.2,0.73,24.5,1101.5,0.1,223.3,57.4,280.7,677.4,49.8,6.99,46.6,2369.2,0.32,680.8,117.2,798.1,31.47,0.0,0.0,31.47,33.09,0.0,0.0,33.09,5727062.0
AZNMc,MT,2028,0,5732715.0,5343922.1,6716883.0,5936615.5,0.0331,0.0457,0.61,0.71,256.7,20.0,2.82,19.0,869.4,0.17,258.1,45.0,303.1,190.4,14.4,2.03,14.2,657.0,0.12,191.4,33.8,225.2,150.1,4.9,0.6,15.9,720.3,0.07,150.4,37.4,187.8,550.9,34.1,4.71,43.9,2122.9,0.26,553.2,107.2,660.4,27.09,0.0,0.0,27.09,28.55,0.0,0.0,28.55,4954733.5
AZNMc,MT,2028,1,5476618.3,5104348.9,6582911.0,5770689.0,0.0325,0.0434,0.59,0.7,268.8,21.1,2.97,19.8,905.9,0.18,270.3,46.9,317.1,197.2,15.0,2.11,14.6,677.9,0.13,198.2,34.9,233.1,157.3,5.2,0.64,16.6,752.3,0.07,157.7,39.0,196.7,569.5,36.9,5.12,43.7,2147.9,0.27,572.0,107.8,679.8,26.83,0.0,0.0,26.83,28.19,0.0,0.0,28.19,4667485.5
AZNMc,MT,2028,2,5310646.1,4955864.5,6404907.5,5596178.0,0.0321,0.042,0.58,0.69,276.2,21.8,3.08,20.2,925.0,0.19,277.7,47.8,325.5,202.0,15.4,2.18,14.9,691.7,0.13,203.0,35.6,238.6,163.7,5.3,0.65,17.4,785.6,0.07,164.0,40.8,204.8,561.6,36.2,5.02,43.4,2119.2,0.27,564.0,106.7,670.7,26.57,0.0,0.0,26.57,27.87,0.0,0.0,27.87,4504628.5
