Project,Scenario,Dollar_year,Weather_year,Start_day,country
Cambium_2022,MidCase,2021$,2012,Sunday,usa
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Geography,Time,Time,Time,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation
unitless,unitless,unitless,unitless,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh
gea,tz,t,hour,busbar_load,enduse_load,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation
AZNMc,MT,2024,0,5389940.8,5103434.9,3540130.5,3648955.2,0.0333,0.0462,0.41,0.49,375.4,27.9,3.92,27.7,1310.2,0.23,377.3,66.8,444.1,335.1,24.8,3.48,24.6,1172.6,0.2,336.8,59.6,396.4,340.1,7.6,0.83,39.1,1738.3,0.15,340.5,90.9,431.4,737.6,58.4,8.27,47.1,2434.8,0.36,741.6,119.8,861.4,31.57,0.0,0.0,31.57,33.1,0.0,0.0,33.1,5506280.0
AZNMc,MT,2024,1,5163929.9,4890507.0,3437384.0,3553912.0,0.0326,0.044,0.39,0.47,385.5,28.8,4.05,28.3,1340.7,0.23,387.5,68.3,455.8,342.6,25.4,3.57,25.1,1197.0,0.2,344.4,60.9,405.2,349.1,8.1,0.89,39.9,1777.4,0.15,349.6,92.9,442.5,804.9,70.0,9.99,45.5,2466.8,0.39,809.7,119.1,928.8,31.16,0.0,0.0,31.16,32.59,0.0,0.0,32.59,5288353.0
AZNMc,MT,2024,2,5020550.5,4756549.9,3331816.8,3473290.5,0.0323,0.0427,0.39,0.47,391.4,29.4,4.13,28.6,1356.7,0.24,393.4,69.1,462.5,348.6,25.9,3.64,25.5,1214.8,0.21,350.3,61.8,412.1,352.6,8.1,0.89,40.3,1797.0,0.16,353.1,93.9,447.0,757.4,62.3,8.84,45.9,2439.6,0.36,761.7,118.7,880.4,30.88,0.0,0.0,30.88,32.25,0.0,0.0,32.25,5169620.0
AZNMc,MT,2024,3,4950758.6,4693946.8,3224800.8,3362984.0,0.0321,0.042,0.38,0.46,394.9,29.7,4.18,28.8,1366.2,0.24,397.0,69.6,466.6,352.2,26.3,3.69,25.7,1225.1,0.21,354.0,62.3,416.2,356.2,8.3,0.92,40.6,1810.5,0.16,356.7,94.6,451.3,761.0,62.5,8.88,46.3,2448.1,0.37,765.3,119.4,884.7,30.73,0.0,0.0,30.73,32.08,0.0,0.0,32.08,5095993.0
AZNMc,MT,2024,4,4989433.7,4734776.1,3087724.0,3230451.0,0.0321,0.0422,0.39,0.46,393.4,29.6,4.16,28.7,1360.7,0.24,395.4,69.3,464.7,352.7,26.4,3.71,25.7,1224.7,0.21,354.5,62.2,416.7,354.0,8.1,0.9,40.5,1803.1,0.16,354.5,94.3,448.7,759.3,62.2,8.84,46.6,2435.3,0.38,763.5,119.2,882.8,30.79,0.0,0.0,30.79,32.15,0.0,0.0,32.15,5138979.5
AZNMc,MT,2024,5,5148250.3,4891621.7,2909494.5,3124951.8,0.0324,0.0436,0.41,0.48,376.6,28.2,3.96,27.6,1307.8,0.23,378.6,66.6,445.2,341.9,25.5,3.59,24.9,1187.7,0.2,343.7,60.4,404.0,344.3,8.2,0.91,39.1,1745.3,0.15,344.8,91.2,436.0,791.2,67.3,9.6,46.3,2459.5,0.39,795.8,119.7,915.6,31.02,0.0,0.0,31.02,32.43,0.0,0.0,32.43,5369391.0
AZNMc,MT,2024,6,5402970.1,5114357.1,2933528.0,4046668.5,0.033,0.0456,0.57,0.58,279.4,21.1,2.97,20.5,963.6,0.17,280.8,49.2,330.0,278.5,21.4,3.02,19.9,948.5,0.17,280.0,48.2,328.2,287.2,6.5,0.71,33.0,1466.8,0.13,287.6,76.7,364.3,699.0,52.1,7.34,47.5,2409.0,0.34,702.5,119.4,822.0,29.2,0.0,0.0,29.2,30.61,0.0,0.0,30.61,6519873.5
AZNMc,MT,2024,7,5752370.6,5283825.5,3200620.0,5742682.0,0.0335,0.0473,0.71,0.7,183.3,13.8,1.94,13.6,634.1,0.12,184.2,32.6,216.8,203.2,15.7,2.22,14.5,689.0,0.13,204.3,35.1,239.4,234.2,5.5,0.61,26.7,1190.5,0.1,234.6,62.2,296.8,556.9,43.2,6.11,36.7,1870.9,0.28,559.9,92.5,652.4,22.25,0.0,0.0,22.25,23.63,0.0,0.0,23.63,8300089.0
