Vehicle ID: (2, 'diesel', 'train-19'), Action: entry_OC_1, State: loaded, Event Type: end, Emission: 0.526762388795005, Timestamp: 0.7414643101820901
Vehicle ID: (2, 'diesel', 'train-19'), Action: dropoff_OC_1, State: loaded, Event Type: end, Emission: 0.526762388795005, Timestamp: 0.7419579940505534
Vehicle ID: (2, 'electric', 'train-12'), Action: entry_OC_1, State: loaded, Event Type: end, Emission: 0.2459357786394005, Timestamp: 1.1247619828840405
Vehicle ID: (2, 'electric', 'train-12'), Action: dropoff_OC_1, State: loaded, Event Type: end, Emission: 0.2459357786394005, Timestamp: 1.1255069602425969
Vehicle ID: (0, 'diesel', 'train-19'), Action: pass_gate, State: empty, Event Type: end, Emission: 0.1435076234775183, Timestamp: 1.2145454070503798
Vehicle ID: (1, 'diesel', 'train-70'), Action: entry_OC_1, State: loaded, Event Type: end, Emission: 0.355802857472072, Timestamp: 1.3486013983066105
Vehicle ID: (1, 'diesel', 'train-70'), Action: dropoff_OC_1, State: loaded, Event Type: end, Emission: 0.355802857472072, Timestamp: 1.3500521482485335
Vehicle ID: (1, 'diesel', 'train-19'), Action: pass_gate, State: empty, Event Type: end, Emission: 0.10167435271710047, Timestamp: 1.7310200105398514
Vehicle ID: (4, 'electric', 'train-19'), Action: pass_gate, State: empty, Event Type: end, Emission: 0.06331847627835988, Timestamp: 2.253440031526535
Vehicle ID: (0, 'diesel', 'train-12'), Action: pass_gate, State: empty, Event Type: end, Emission: 0.1542866473584465, Timestamp: 2.7216821149116233
Vehicle ID: (2, 'diesel', 'train-70'), Action: entry_OC_2, State: loaded, Event Type: end, Emission: 0.5334548589030337, Timestamp: 4.510506709234061
Vehicle ID: (2, 'diesel', 'train-70'), Action: dropoff_OC_2, State: loaded, Event Type: end, Emission: 0.5334548589030337, Timestamp: 4.51103818017427
Vehicle ID: (3, 'electric', 'train-12'), Action: pass_gate, State: empty, Event Type: end, Emission: 0.048232293114392415, Timestamp: 4.843223693022531
Vehicle ID: (3, 'electric', 'train-70'), Action: entry_OC_3, State: loaded, Event Type: end, Emission: 0.26737098632701073, Timestamp: 4.980208278882496
Vehicle ID: (3, 'electric', 'train-70'), Action: dropoff_OC_3, State: loaded, Event Type: end, Emission: 0.26737098632701073, Timestamp: 4.981003898665894
Vehicle ID: (0, 'diesel', 'train-70'), Action: entry_OC_4, State: loaded, Event Type: end, Emission: 0.5224015184791618, Timestamp: 5.580085421436124
Vehicle ID: (0, 'diesel', 'train-70'), Action: dropoff_OC_4, State: loaded, Event Type: end, Emission: 0.5224015184791618, Timestamp: 5.581180633139258
Vehicle ID: (4, 'electric', 'train-70'), Action: entry_OC_5, State: loaded, Event Type: end, Emission: 0.2789832761675838, Timestamp: 6.496046986195507
Vehicle ID: (4, 'electric', 'train-70'), Action: dropoff_OC_5, State: loaded, Event Type: end, Emission: 0.2789832761675838, Timestamp: 6.49649988984441
Vehicle ID: (1, 'diesel', 'train-12'), Action: pass_gate, State: empty, Event Type: end, Emission: 0.14924358941471885, Timestamp: 6.57576326756052
Vehicle ID: (3, 'electric', 'train-19'), Action: pass_gate, State: empty, Event Type: end, Emission: 0.06203560529454037, Timestamp: 8.739201074551298
Vehicle ID: (2, 'diesel', 'train-19'), Action: pickup_IC_1-Train-19, State: empty, Event Type: end, Emission: 0.52, Timestamp: 190.2
Vehicle ID: (2, 'diesel', 'train-19'), Action: leave_gate_IC_1-Train-19, State: loaded, Event Type: end, Emission: 0.985025071382631, Timestamp: 190.2475857522407
Vehicle ID: (2, 'electric', 'train-12'), Action: pickup_IC_1-Train-12, State: empty, Event Type: end, Emission: 0.24, Timestamp: 190.79999999999995
Vehicle ID: (2, 'electric', 'train-12'), Action: leave_gate_IC_1-Train-12, State: loaded, Event Type: end, Emission: 0.467584863571053, Timestamp: 190.84584165329125
Vehicle ID: (0, 'diesel', 'train-19'), Action: pickup_IC_2-Train-19, State: empty, Event Type: end, Emission: 0.52, Timestamp: 191.39999999999992
Vehicle ID: (0, 'diesel', 'train-19'), Action: leave_gate_IC_2-Train-19, State: loaded, Event Type: end, Emission: 0.7204012171856976, Timestamp: 191.4348019911683
Vehicle ID: (1, 'diesel', 'train-70'), Action: pickup_IC_2-Train-12, State: empty, Event Type: end, Emission: 0.52, Timestamp: 191.9999999999999
Vehicle ID: (1, 'diesel', 'train-70'), Action: leave_gate_IC_2-Train-12, State: loaded, Event Type: end, Emission: 0.9454535256266059, Timestamp: 192.04567408336348
Vehicle ID: (1, 'diesel', 'train-19'), Action: pickup_IC_3-Train-19, State: empty, Event Type: end, Emission: 0.52, Timestamp: 192.59999999999985
Vehicle ID: (1, 'diesel', 'train-19'), Action: leave_gate_IC_3-Train-19, State: loaded, Event Type: end, Emission: 0.8743379218936814, Timestamp: 192.64223854695123
Vehicle ID: (4, 'electric', 'train-19'), Action: pickup_IC_4-Train-19, State: empty, Event Type: end, Emission: 0.24, Timestamp: 192.89999999999984
