,Origin,Manifest,Manifest_Empty,Manifest_Dispatched,Manifest_Received,Manifest_Dispatched_Check,Manifest_Received_Check,Manifest_Empty_Updated
0,Barstow,5880.0,4063.0,9943.0,10300.0,10300.0,10300.0,4420.0
1,Stockton,6495.0,3596.0,10091.0,9891.0,10405.0,10405.0,3753.0
2,Bakersfield,6951.0,3934.0,10885.0,10728.0,10885.0,10728.0,3934.0
