Metric,Year,Scenario,Value
USD_Per_kWh,2021,Advanced,164.4999
USD_Per_kWh,2022,Advanced,185.3241972
USD_Per_kWh,2023,Advanced,133.3236936
USD_Per_kWh,2024,Advanced,125.8354728
USD_Per_kWh,2025,Advanced,119.4408288
USD_Per_kWh,2026,Advanced,115.1313948
USD_Per_kWh,2027,Advanced,110.8312284
USD_Per_kWh,2028,Advanced,106.5217944
USD_Per_kWh,2029,Advanced,102.221628
USD_Per_kWh,2030,Advanced,97.912194
USD_Per_kWh,2031,Advanced,96.0772092
USD_Per_kWh,2032,Advanced,94.2329568
USD_Per_kWh,2033,Advanced,92.3887044
USD_Per_kWh,2034,Advanced,90.5537196
USD_Per_kWh,2035,Advanced,88.7094672
USD_Per_kWh,2036,Advanced,86.8652148
USD_Per_kWh,2037,Advanced,85.03023
USD_Per_kWh,2038,Advanced,83.1859776
USD_Per_kWh,2039,Advanced,81.3417252
USD_Per_kWh,2040,Advanced,79.5067404
USD_Per_kWh,2041,Advanced,77.662488
USD_Per_kWh,2042,Advanced,75.8275032
USD_Per_kWh,2043,Advanced,73.9832508
USD_Per_kWh,2044,Advanced,72.1389984
USD_Per_kWh,2045,Advanced,70.3040136
USD_Per_kWh,2046,Advanced,68.4597612
USD_Per_kWh,2047,Advanced,66.6155088
USD_Per_kWh,2048,Advanced,64.7712564
USD_Per_kWh,2049,Advanced,62.9362716
USD_Per_kWh,2050,Advanced,61.0920192
USD_Per_kWh,2021,Moderate,164.4999
USD_Per_kWh,2022,Moderate,185.3241972
USD_Per_kWh,2023,Moderate,169.1522352
USD_Per_kWh,2024,Moderate,153.6660756
USD_Per_kWh,2025,Moderate,146.335404
USD_Per_kWh,2026,Moderate,138.31893
USD_Per_kWh,2027,Moderate,131.0067936
USD_Per_kWh,2028,Moderate,124.278516
USD_Per_kWh,2029,Moderate,118.1989704
USD_Per_kWh,2030,Moderate,112.6106076
USD_Per_kWh,2031,Moderate,111.2019324
USD_Per_kWh,2032,Moderate,109.7932572
USD_Per_kWh,2033,Moderate,108.3938496
USD_Per_kWh,2034,Moderate,106.9851744
USD_Per_kWh,2035,Moderate,105.5764992
USD_Per_kWh,2036,Moderate,104.167824
USD_Per_kWh,2037,Moderate,102.7591488
USD_Per_kWh,2038,Moderate,101.3504736
USD_Per_kWh,2039,Moderate,99.951066
USD_Per_kWh,2040,Moderate,98.5423908
USD_Per_kWh,2041,Moderate,97.1337156
USD_Per_kWh,2042,Moderate,95.7250404
USD_Per_kWh,2043,Moderate,94.3163652
USD_Per_kWh,2044,Moderate,92.90769
USD_Per_kWh,2045,Moderate,91.4990148
USD_Per_kWh,2046,Moderate,90.0903396
USD_Per_kWh,2047,Moderate,88.6816644
USD_Per_kWh,2048,Moderate,87.2729892
USD_Per_kWh,2049,Moderate,85.864314
USD_Per_kWh,2050,Moderate,84.4556388
USD_Per_kWh,2021,Conservative,164.4999
USD_Per_kWh,2022,Conservative,185.3241972
USD_Per_kWh,2023,Conservative,192.1822212
USD_Per_kWh,2024,Conservative,193.5630936
USD_Per_kWh,2025,Conservative,190.8106164
USD_Per_kWh,2026,Conservative,183.6745644
USD_Per_kWh,2027,Conservative,176.5385124
USD_Per_kWh,2028,Conservative,169.3931928
USD_Per_kWh,2029,Conservative,162.2571408
USD_Per_kWh,2030,Conservative,155.1210888
USD_Per_kWh,2031,Conservative,154.676244
USD_Per_kWh,2032,Conservative,154.2313992
USD_Per_kWh,2033,Conservative,153.795822
USD_Per_kWh,2034,Conservative,153.3509772
USD_Per_kWh,2035,Conservative,152.9061324
USD_Per_kWh,2036,Conservative,152.4612876
USD_Per_kWh,2037,Conservative,152.0164428
USD_Per_kWh,2038,Conservative,151.5808656
USD_Per_kWh,2039,Conservative,151.1360208
USD_Per_kWh,2040,Conservative,150.691176
USD_Per_kWh,2041,Conservative,150.2463312
USD_Per_kWh,2042,Conservative,149.8014864
USD_Per_kWh,2043,Conservative,149.3659092
USD_Per_kWh,2044,Conservative,148.9210644
USD_Per_kWh,2045,Conservative,148.4762196
USD_Per_kWh,2046,Conservative,148.0313748
USD_Per_kWh,2047,Conservative,147.5957976
USD_Per_kWh,2048,Conservative,147.1509528
USD_Per_kWh,2049,Conservative,146.706108
USD_Per_kWh,2050,Conservative,146.2612632
USD_Per_kW,2021,Advanced,229.6140576
USD_Per_kW,2022,Advanced,671.5859016
USD_Per_kW,2023,Advanced,483.1385232
USD_Per_kW,2024,Advanced,456.0215256
USD_Per_kW,2025,Advanced,432.8061876
USD_Per_kW,2026,Advanced,417.2180844
USD_Per_kW,2027,Advanced,401.6207136
USD_Per_kW,2028,Advanced,386.0326104
USD_Per_kW,2029,Advanced,370.4352396
USD_Per_kW,2030,Advanced,354.8471364
USD_Per_kW,2031,Advanced,348.1651968
USD_Per_kW,2032,Advanced,341.4925248
USD_Per_kW,2033,Advanced,334.8198528
USD_Per_kW,2034,Advanced,328.1471808
USD_Per_kW,2035,Advanced,321.4745088
USD_Per_kW,2036,Advanced,314.8018368
USD_Per_kW,2037,Advanced,308.1384324
USD_Per_kW,2038,Advanced,301.4564928
USD_Per_kW,2039,Advanced,294.7838208
USD_Per_kW,2040,Advanced,288.1111488
USD_Per_kW,2041,Advanced,281.4384768
USD_Per_kW,2042,Advanced,274.7658048
USD_Per_kW,2043,Advanced,268.0931328
USD_Per_kW,2044,Advanced,261.4204608
USD_Per_kW,2045,Advanced,254.7477888
USD_Per_kW,2046,Advanced,248.0751168
USD_Per_kW,2047,Advanced,241.4024448
USD_Per_kW,2048,Advanced,234.7297728
USD_Per_kW,2049,Advanced,228.0571008
USD_Per_kW,2050,Advanced,221.3844288
USD_Per_kW,2021,Moderate,229.6140576
USD_Per_kW,2022,Moderate,671.5859016
USD_Per_kW,2023,Moderate,626.1839292
USD_Per_kW,2024,Moderate,587.2600092
USD_Per_kW,2025,Moderate,563.0715732
USD_Per_kW,2026,Moderate,546.4362312
