,Locomotive ID,Train Type,Origin ID,Origin Departure Time(hr),Destination ID,Number of Loaded Railcars,Number of Empty Railcars
0,2000.0,Intermodal,Stockton,8.1,Bakersfield,48.0,52.0
1,3000.0,Intermodal,Bakersfield,8.1,Stockton,52.0,48.0
2,1000.0,Intermodal,Barstow,8.4,Bakersfield,51.0,49.0
3,3001.0,Intermodal,Bakersfield,8.4,Barstow,49.0,51.0
4,2001.0,Unit_Empty,Stockton,9.2,Bakersfield,59.0,40.0
5,3002.0,Unit_Empty,Bakersfield,9.2,Barstow,64.0,35.0
6,1001.0,Unit_Empty,Barstow,9.3,Bakersfield,60.0,39.0
7,3003.0,Unit_Empty,Bakersfield,9.3,Stockton,63.0,36.0
8,1002.0,Unit_Empty,Barstow,10.3,Stockton,52.0,46.0
9,2002.0,Unit_Empty,Stockton,10.5,Barstow,67.0,32.0
10,1003.0,Intermodal,Barstow,11.7,Stockton,51.0,49.0
11,2003.0,Intermodal,Stockton,11.7,Barstow,49.0,51.0
12,1006.0,Unit,Barstow,14.0,Bakersfield,0.0,101.0
13,3006.0,Unit,Bakersfield,14.0,Barstow,101.0,0.0
14,2004.0,Intermodal,Stockton,16.2,Bakersfield,48.0,52.0
15,3004.0,Intermodal,Bakersfield,16.2,Stockton,52.0,48.0
16,1007.0,Unit,Barstow,16.3,Bakersfield,101.0,0.0
17,3007.0,Unit,Bakersfield,16.3,Barstow,0.0,101.0
18,1004.0,Intermodal,Barstow,16.8,Bakersfield,51.0,49.0
19,3005.0,Intermodal,Bakersfield,16.8,Barstow,49.0,51.0
20,2005.0,Unit_Empty,Stockton,18.4,Bakersfield,59.0,40.0
21,3008.0,Unit_Empty,Bakersfield,18.4,Barstow,64.0,35.0
22,1005.0,Unit_Empty,Barstow,18.6,Bakersfield,60.0,39.0
23,3009.0,Unit_Empty,Bakersfield,18.6,Stockton,63.0,36.0
24,2006.0,Unit,Stockton,19.4,Bakersfield,0.0,98.0
25,3010.0,Unit,Bakersfield,19.4,Stockton,98.0,0.0
26,1008.0,Unit_Empty,Barstow,20.6,Stockton,52.0,46.0
27,1009.0,Unit,Barstow,21.0,Stockton,99.0,0.0
28,2007.0,Unit,Stockton,21.0,Barstow,0.0,99.0
29,2008.0,Unit_Empty,Stockton,21.0,Barstow,67.0,32.0
30,2011.0,Unit,Stockton,21.0,Bakersfield,101.0,0.0
31,3011.0,Unit,Bakersfield,21.0,Stockton,0.0,101.0
32,1011.0,Unit,Barstow,21.9,Stockton,0.0,101.0
33,2012.0,Unit,Stockton,21.9,Barstow,101.0,0.0
34,1010.0,Intermodal,Barstow,23.4,Stockton,51.0,49.0
35,2009.0,Intermodal,Stockton,23.4,Barstow,49.0,51.0
36,2010.0,Intermodal,Stockton,24.3,Bakersfield,48.0,52.0
37,3012.0,Intermodal,Bakersfield,24.3,Stockton,52.0,48.0
38,1012.0,Intermodal,Barstow,25.2,Bakersfield,51.0,49.0
39,3013.0,Intermodal,Bakersfield,25.2,Barstow,49.0,51.0
40,2013.0,Unit_Empty,Stockton,27.6,Bakersfield,59.0,40.0
41,3014.0,Unit_Empty,Bakersfield,27.6,Barstow,64.0,35.0
42,1013.0,Unit_Empty,Barstow,27.9,Bakersfield,60.0,39.0
43,3015.0,Unit_Empty,Bakersfield,27.9,Stockton,63.0,36.0
44,1016.0,Unit,Barstow,28.0,Bakersfield,0.0,101.0
45,3016.0,Unit,Bakersfield,28.0,Barstow,101.0,0.0
46,1014.0,Unit_Empty,Barstow,30.9,Stockton,52.0,46.0
47,2014.0,Unit_Empty,Stockton,31.5,Barstow,67.0,32.0
48,2015.0,Intermodal,Stockton,32.4,Bakersfield,48.0,52.0
49,3017.0,Intermodal,Bakersfield,32.4,Stockton,52.0,48.0
50,1017.0,Unit,Barstow,32.6,Bakersfield,101.0,0.0
51,2001.0,Unit,Bakersfield,32.6,Barstow,0.0,101.0
52,1015.0,Intermodal,Barstow,33.6,Bakersfield,51.0,49.0
53,3018.0,Intermodal,Bakersfield,33.6,Barstow,49.0,51.0
54,1018.0,Intermodal,Barstow,35.1,Stockton,51.0,49.0
55,2016.0,Intermodal,Stockton,35.1,Barstow,49.0,51.0
56,2017.0,Unit_Empty,Stockton,36.8,Bakersfield,59.0,40.0
57,3019.0,Unit_Empty,Bakersfield,36.8,Barstow,64.0,35.0
58,1019.0,Unit_Empty,Barstow,37.2,Bakersfield,60.0,39.0
59,2000.0,Unit_Empty,Bakersfield,37.2,Stockton,63.0,36.0
60,2018.0,Unit,Stockton,38.8,Bakersfield,0.0,98.0
61,1000.0,Unit,Bakersfield,38.8,Stockton,98.0,0.0
62,2019.0,Intermodal,Stockton,40.5,Bakersfield,48.0,52.0
63,1001.0,Intermodal,Bakersfield,40.5,Stockton,52.0,48.0
64,3001.0,Unit_Empty,Barstow,41.2,Stockton,52.0,46.0
65,3002.0,Unit,Barstow,42.0,Stockton,99.0,0.0
66,2002.0,Intermodal,Barstow,42.0,Bakersfield,51.0,49.0
67,3006.0,Unit,Barstow,42.0,Bakersfield,0.0,101.0
68,3000.0,Unit,Stockton,42.0,Barstow,0.0,99.0
69,3003.0,Unit_Empty,Stockton,42.0,Barstow,67.0,32.0
70,1002.0,Unit,Stockton,42.0,Bakersfield,101.0,0.0
71,1006.0,Intermodal,Bakersfield,42.0,Barstow,49.0,51.0
72,1007.0,Unit,Bakersfield,42.0,Barstow,101.0,0.0
73,2006.0,Unit,Bakersfield,42.0,Stockton,0.0,101.0
74,3007.0,Unit,Barstow,43.8,Stockton,0.0,101.0
75,3011.0,Unit,Stockton,43.8,Barstow,101.0,0.0
76,1003.0,Unit_Empty,Stockton,46.0,Bakersfield,59.0,40.0
77,2004.0,Unit_Empty,Bakersfield,46.0,Barstow,64.0,35.0
78,2003.0,Unit_Empty,Barstow,46.5,Bakersfield,60.0,39.0
79,1004.0,Unit_Empty,Bakersfield,46.5,Stockton,63.0,36.0
80,3005.0,Intermodal,Barstow,46.8,Stockton,51.0,49.0
81,3004.0,Intermodal,Stockton,46.8,Barstow,49.0,51.0
82,3009.0,Intermodal,Stockton,48.6,Bakersfield,48.0,52.0
83,2005.0,Intermodal,Bakersfield,48.6,Stockton,52.0,48.0
84,2007.0,Unit,Barstow,48.9,Bakersfield,101.0,0.0
85,2011.0,Unit,Bakersfield,48.9,Barstow,0.0,101.0
86,3008.0,Intermodal,Barstow,50.4,Bakersfield,51.0,49.0
87,1005.0,Intermodal,Bakersfield,50.4,Barstow,49.0,51.0
88,2008.0,Unit_Empty,Barstow,51.5,Stockton,52.0,46.0
89,3010.0,Unit_Empty,Stockton,52.5,Barstow,67.0,32.0
90,1008.0,Unit_Empty,Stockton,55.2,Bakersfield,59.0,40.0
91,2010.0,Unit_Empty,Bakersfield,55.2,Barstow,64.0,35.0
92,2012.0,Unit_Empty,Barstow,55.8,Bakersfield,60.0,39.0
93,1012.0,Unit_Empty,Bakersfield,55.8,Stockton,63.0,36.0
94,3016.0,Unit,Barstow,56.0,Bakersfield,0.0,101.0
95,1016.0,Unit,Bakersfield,56.0,Barstow,101.0,0.0
96,1009.0,Intermodal,Stockton,56.7,Bakersfield,48.0,52.0
97,2013.0,Intermodal,Bakersfield,56.7,Stockton,52.0,48.0
98,1011.0,Unit,Stockton,58.2,Bakersfield,0.0,98.0
99,1013.0,Unit,Bakersfield,58.2,Stockton,98.0,0.0
100,2009.0,Intermodal,Barstow,58.5,Stockton,51.0,49.0
101,1010.0,Intermodal,Stockton,58.5,Barstow,49.0,51.0
102,3013.0,Intermodal,Barstow,58.8,Bakersfield,51.0,49.0
103,2015.0,Intermodal,Bakersfield,58.8,Barstow,49.0,51.0
104,3014.0,Unit_Empty,Barstow,61.8,Stockton,52.0,46.0
105,2014.0,Unit,Barstow,63.0,Stockton,99.0,0.0
106,3012.0,Unit,Stockton,63.0,Barstow,0.0,99.0
107,3015.0,Unit_Empty,Stockton,63.0,Barstow,67.0,32.0
108,3017.0,Unit,Stockton,63.0,Bakersfield,101.0,0.0
109,1017.0,Unit,Bakersfield,63.0,Stockton,0.0,101.0
110,1014.0,Unit_Empty,Stockton,64.4,Bakersfield,59.0,40.0
111,1015.0,Unit_Empty,Bakersfield,64.4,Barstow,64.0,35.0
112,1018.0,Intermodal,Stockton,64.8,Bakersfield,48.0,52.0
113,2017.0,Intermodal,Bakersfield,64.8,Stockton,52.0,48.0
114,2001.0,Unit_Empty,Barstow,65.1,Bakersfield,60.0,39.0
115,1019.0,Unit_Empty,Bakersfield,65.1,Stockton,63.0,36.0
116,2016.0,Unit,Barstow,65.2,Bakersfield,101.0,0.0
117,2002.0,Unit,Bakersfield,65.2,Barstow,0.0,101.0
118,1006.0,Unit,Barstow,65.7,Stockton,0.0,101.0
119,1001.0,Unit,Stockton,65.7,Barstow,101.0,0.0
120,3018.0,Intermodal,Barstow,67.2,Bakersfield,51.0,49.0
121,2018.0,Intermodal,Bakersfield,67.2,Barstow,49.0,51.0
122,1007.0,Unit,Barstow,70.0,Bakersfield,0.0,101.0
123,3006.0,Unit,Bakersfield,70.0,Barstow,101.0,0.0
124,3019.0,Intermodal,Barstow,70.2,Stockton,51.0,49.0
125,2000.0,Intermodal,Stockton,70.2,Barstow,49.0,51.0
126,3000.0,Unit_Empty,Barstow,72.1,Stockton,52.0,46.0
127,1000.0,Intermodal,Stockton,72.9,Bakersfield,48.0,52.0
128,2019.0,Intermodal,Bakersfield,72.9,Stockton,52.0,48.0
129,3001.0,Unit_Empty,Stockton,73.5,Barstow,67.0,32.0
130,3002.0,Unit_Empty,Stockton,73.6,Bakersfield,59.0,40.0
131,1002.0,Unit_Empty,Bakersfield,73.6,Barstow,64.0,35.0
132,3003.0,Unit_Empty,Barstow,74.4,Bakersfield,60.0,39.0
133,1003.0,Unit_Empty,Bakersfield,74.4,Stockton,63.0,36.0
134,3011.0,Intermodal,Barstow,75.6,Bakersfield,51.0,49.0
135,2003.0,Intermodal,Bakersfield,75.6,Barstow,49.0,51.0
136,2006.0,Unit,Stockton,77.6,Bakersfield,0.0,98.0
137,3009.0,Unit,Bakersfield,77.6,Stockton,98.0,0.0
138,3007.0,Intermodal,Stockton,81.0,Bakersfield,48.0,52.0
139,2007.0,Intermodal,Bakersfield,81.0,Stockton,52.0,48.0
140,2011.0,Unit,Barstow,81.5,Bakersfield,101.0,0.0
141,2012.0,Unit,Bakersfield,81.5,Barstow,0.0,101.0
142,2004.0,Intermodal,Barstow,81.9,Stockton,51.0,49.0
143,1004.0,Intermodal,Stockton,81.9,Barstow,49.0,51.0
144,3004.0,Unit_Empty,Barstow,82.4,Stockton,52.0,46.0
145,3005.0,Unit_Empty,Stockton,82.8,Bakersfield,59.0,40.0
146,3008.0,Unit_Empty,Bakersfield,82.8,Barstow,64.0,35.0
147,1005.0,Unit_Empty,Barstow,83.7,Bakersfield,60.0,39.0
148,1008.0,Unit_Empty,Bakersfield,83.7,Stockton,63.0,36.0
149,3010.0,Unit,Barstow,84.0,Stockton,99.0,0.0
150,2010.0,Intermodal,Barstow,84.0,Bakersfield,51.0,49.0
151,1016.0,Unit,Barstow,84.0,Bakersfield,0.0,101.0
152,2005.0,Unit,Stockton,84.0,Barstow,0.0,99.0
153,2008.0,Unit_Empty,Stockton,84.0,Barstow,67.0,32.0
154,1012.0,Unit,Stockton,84.0,Bakersfield,101.0,0.0
155,3016.0,Intermodal,Bakersfield,84.0,Barstow,49.0,51.0
156,1011.0,Unit,Bakersfield,84.0,Barstow,101.0,0.0
157,3017.0,Unit,Bakersfield,84.0,Stockton,0.0,101.0
158,3012.0,Unit,Barstow,87.6,Stockton,0.0,101.0
159,1017.0,Unit,Stockton,87.6,Barstow,101.0,0.0
160,2013.0,Intermodal,Stockton,89.1,Bakersfield,48.0,52.0
161,1009.0,Intermodal,Bakersfield,89.1,Stockton,52.0,48.0
162,1013.0,Unit_Empty,Stockton,92.0,Bakersfield,59.0,40.0
163,3013.0,Unit_Empty,Bakersfield,92.0,Barstow,64.0,35.0
164,1010.0,Intermodal,Barstow,92.4,Bakersfield,51.0,49.0
165,1014.0,Intermodal,Bakersfield,92.4,Barstow,49.0,51.0
166,2015.0,Unit_Empty,Barstow,92.7,Stockton,52.0,46.0
167,3015.0,Unit_Empty,Barstow,93.0,Bakersfield,60.0,39.0
168,1018.0,Unit_Empty,Bakersfield,93.0,Stockton,63.0,36.0
169,1015.0,Intermodal,Barstow,93.6,Stockton,51.0,49.0
170,2009.0,Intermodal,Stockton,93.6,Barstow,49.0,51.0
171,3014.0,Unit_Empty,Stockton,94.5,Barstow,67.0,32.0
172,2014.0,Unit,Stockton,97.0,Bakersfield,0.0,98.0
173,2001.0,Unit,Bakersfield,97.0,Stockton,98.0,0.0
174,2017.0,Intermodal,Stockton,97.2,Bakersfield,48.0,52.0
175,2016.0,Intermodal,Bakersfield,97.2,Stockton,52.0,48.0
176,2002.0,Unit,Barstow,97.8,Bakersfield,101.0,0.0
177,1007.0,Unit,Bakersfield,97.8,Barstow,0.0,101.0
178,1001.0,Unit,Barstow,98.0,Bakersfield,0.0,101.0
179,3002.0,Unit,Bakersfield,98.0,Barstow,101.0,0.0
180,2018.0,Intermodal,Barstow,100.8,Bakersfield,51.0,49.0
181,3018.0,Intermodal,Bakersfield,100.8,Barstow,49.0,51.0
182,1019.0,Unit_Empty,Stockton,101.2,Bakersfield,59.0,40.0
183,1000.0,Unit_Empty,Bakersfield,101.2,Barstow,64.0,35.0
184,3006.0,Unit_Empty,Barstow,102.3,Bakersfield,60.0,39.0
185,3003.0,Unit_Empty,Bakersfield,102.3,Stockton,63.0,36.0
186,2000.0,Unit_Empty,Barstow,103.0,Stockton,52.0,46.0
187,3001.0,Unit,Barstow,105.0,Stockton,99.0,0.0
188,1006.0,Unit,Stockton,105.0,Barstow,0.0,99.0
189,3019.0,Unit_Empty,Stockton,105.0,Barstow,67.0,32.0
190,2007.0,Unit,Stockton,105.0,Bakersfield,101.0,0.0
191,3011.0,Unit,Bakersfield,105.0,Stockton,0.0,101.0
192,1002.0,Intermodal,Barstow,105.3,Stockton,51.0,49.0
193,3000.0,Intermodal,Stockton,105.3,Barstow,49.0,51.0
194,2019.0,Intermodal,Stockton,105.3,Bakersfield,48.0,52.0
195,2006.0,Intermodal,Bakersfield,105.3,Stockton,52.0,48.0
196,2003.0,Intermodal,Barstow,109.2,Bakersfield,51.0,49.0
197,3007.0,Intermodal,Bakersfield,109.2,Barstow,49.0,51.0
198,2012.0,Unit,Barstow,109.5,Stockton,0.0,101.0
199,3017.0,Unit,Stockton,109.5,Barstow,101.0,0.0
200,1003.0,Unit_Empty,Stockton,110.4,Bakersfield,59.0,40.0
201,2011.0,Unit_Empty,Bakersfield,110.4,Barstow,64.0,35.0
202,1004.0,Unit_Empty,Barstow,111.6,Bakersfield,60.0,39.0
203,3005.0,Unit_Empty,Bakersfield,111.6,Stockton,63.0,36.0
204,3016.0,Unit,Barstow,112.0,Bakersfield,0.0,101.0
205,1016.0,Unit,Bakersfield,112.0,Barstow,101.0,0.0
206,3008.0,Unit_Empty,Barstow,113.3,Stockton,52.0,46.0
207,3009.0,Intermodal,Stockton,113.4,Bakersfield,48.0,52.0
208,1005.0,Intermodal,Bakersfield,113.4,Stockton,52.0,48.0
209,1011.0,Unit,Barstow,114.1,Bakersfield,101.0,0.0
210,1012.0,Unit,Bakersfield,114.1,Barstow,0.0,101.0
211,2004.0,Unit_Empty,Stockton,115.5,Barstow,67.0,32.0
212,3004.0,Unit,Stockton,116.4,Bakersfield,0.0,98.0
213,2010.0,Unit,Bakersfield,116.4,Stockton,98.0,0.0
214,2005.0,Intermodal,Barstow,117.0,Stockton,51.0,49.0
215,1008.0,Intermodal,Stockton,117.0,Barstow,49.0,51.0
216,2008.0,Intermodal,Barstow,117.6,Bakersfield,51.0,49.0
217,2013.0,Intermodal,Bakersfield,117.6,Barstow,49.0,51.0
218,3010.0,Unit_Empty,Stockton,119.6,Bakersfield,59.0,40.0
219,1013.0,Unit_Empty,Bakersfield,119.6,Barstow,64.0,35.0
220,1017.0,Unit_Empty,Barstow,120.9,Bakersfield,60.0,39.0
221,1010.0,Unit_Empty,Bakersfield,120.9,Stockton,63.0,36.0
222,3012.0,Intermodal,Stockton,121.5,Bakersfield,48.0,52.0
223,3015.0,Intermodal,Bakersfield,121.5,Stockton,52.0,48.0
224,3013.0,Unit_Empty,Barstow,123.6,Stockton,52.0,46.0
225,1014.0,Unit,Barstow,126.0,Stockton,99.0,0.0
226,2009.0,Intermodal,Barstow,126.0,Bakersfield,51.0,49.0
227,1007.0,Unit,Barstow,126.0,Bakersfield,0.0,101.0
228,1009.0,Unit,Stockton,126.0,Barstow,0.0,99.0
229,2015.0,Unit_Empty,Stockton,126.0,Barstow,67.0,32.0
230,2001.0,Unit,Stockton,126.0,Bakersfield,101.0,0.0
231,2014.0,Intermodal,Bakersfield,126.0,Barstow,49.0,51.0
232,2017.0,Unit,Bakersfield,126.0,Barstow,101.0,0.0
