Train_ID,Train_Type,Locomotive_ID,Locomotive_Type,Origin_ID,Destination_ID,Cars_Loaded,Cars_Empty,Departure_SOC_J,Departure_Time_Planned_Hr,Arrival_Time_Planned_Hr,Refuel_Start_Time_Planned_Hr,Refuel_End_Time_Planned_Hr,Departure_Time_Actual_Hr,Arrival_Time_Actual_Hr,TrainSimVec_Index
25,Unit,1000,Diesel_Large,Allouez,Hibbing,43.0,44.0,828691080000.0,168.0,176.814986740618,176.814986740618,176.8360199346937,168.0,174.83160599585378,0
32,Unit,1000,Diesel_Large,Hibbing,Allouez,44.0,43.0,828691080000.0,196.0,204.66115190304077,204.66115190304077,204.66655794550903,196.0,200.7194033488388,7
37,Unit,1000,Diesel_Large,Allouez,Hibbing,43.0,44.0,828691080000.0,224.0,232.814986740618,232.814986740618,232.8360199346937,224.0,230.83160599585378,12
41,Intermodal,1000,Diesel_Large,Hibbing,Allouez,43.0,41.0,828691080000.0,237.1764705882353,245.8340364958852,245.8340364958852,245.83566794943235,237.1764705882353,242.1023859005848,16
43,Unit,1000,Diesel_Large,Allouez,Hibbing,43.0,44.0,828691080000.0,252.0,260.814986740618,260.814986740618,260.8360199346937,252.0,258.83160599585375,18
47,Intermodal,1000,Diesel_Large,Hibbing,Allouez,43.0,41.0,828691080000.0,266.8235294117647,275.4810953194146,275.4810953194146,275.4827267729617,266.8235294117647,271.7494447241142,22
49,Unit,1000,Diesel_Large,Allouez,Hibbing,43.0,44.0,828691080000.0,280.0,288.814986740618,288.814986740618,288.8360199346937,280.0,286.83160599585375,24
53,Intermodal,1000,Diesel_Large,Hibbing,Allouez,43.0,41.0,828691080000.0,296.47058823529414,305.1281541429441,305.1281541429441,305.1297855964912,296.4705882352942,301.39650354764365,28
57,Intermodal,1000,Diesel_Large,Allouez,Hibbing,41.0,43.0,828691080000.0,326.11764705882354,334.74920712941383,334.74920712941383,334.7576192186083,326.11764705882354,334.9090139408118,32
25,Unit,1001,BEL,Allouez,Hibbing,43.0,44.0,8208000000.0,168.0,176.814986740618,176.814986740618,177.69498904461798,168.0,174.83160599585378,0
32,Unit,1001,BEL,Hibbing,Allouez,44.0,43.0,2808004319.996545,196.0,204.66115190304077,204.66115190304077,207.54115420704076,196.0,200.7194033488388,7
37,Unit,1001,BEL,Allouez,Hibbing,43.0,44.0,8208000000.0,224.0,232.814986740618,232.814986740618,233.69498904461798,224.0,230.83160599585378,12
41,Intermodal,1001,BEL,Hibbing,Allouez,43.0,41.0,2808004319.996545,237.1764705882353,245.8340364958852,245.8340364958852,248.50232589744067,237.1764705882353,242.1023859005848,16
43,Unit,1001,BEL,Allouez,Hibbing,43.0,44.0,8208000000.0,252.0,260.814986740618,260.814986740618,261.694989044618,252.0,258.83160599585375,18
47,Intermodal,1001,BEL,Hibbing,Allouez,43.0,41.0,2808004319.996545,266.8235294117647,275.4810953194146,275.4810953194146,278.14938472097003,266.8235294117647,271.7494447241142,22
49,Unit,1001,BEL,Allouez,Hibbing,43.0,44.0,8208000000.0,280.0,288.814986740618,288.814986740618,289.694989044618,280.0,286.83160599585375,24
53,Intermodal,1001,BEL,Hibbing,Allouez,43.0,41.0,2808004319.996545,296.47058823529414,305.1281541429441,305.1281541429441,307.79644354449954,296.4705882352942,301.39650354764365,28
57,Intermodal,1001,BEL,Allouez,Hibbing,41.0,43.0,8208000000.0,326.11764705882354,334.74920712941383,334.74920712941383,335.62920943341385,326.11764705882354,334.9090139408118,32
25,Unit,1002,Diesel_Large,Allouez,Hibbing,43.0,44.0,828691080000.0,168.0,176.814986740618,176.814986740618,176.8360199346937,168.0,174.83160599585378,0
32,Unit,1002,Diesel_Large,Hibbing,Allouez,44.0,43.0,828691080000.0,196.0,204.66115190304077,204.66115190304077,204.66655794550903,196.0,200.7194033488388,7
37,Unit,1002,Diesel_Large,Allouez,Hibbing,43.0,44.0,828691080000.0,224.0,232.814986740618,232.814986740618,232.8360199346937,224.0,230.83160599585378,12
41,Intermodal,1002,Diesel_Large,Hibbing,Allouez,43.0,41.0,828691080000.0,237.1764705882353,245.8340364958852,245.8340364958852,245.83566794943235,237.1764705882353,242.1023859005848,16
43,Unit,1002,Diesel_Large,Allouez,Hibbing,43.0,44.0,828691080000.0,252.0,260.814986740618,260.814986740618,260.8360199346937,252.0,258.83160599585375,18
47,Intermodal,1002,Diesel_Large,Hibbing,Allouez,43.0,41.0,828691080000.0,266.8235294117647,275.4810953194146,275.4810953194146,275.4827267729617,266.8235294117647,271.7494447241142,22
49,Unit,1002,Diesel_Large,Allouez,Hibbing,43.0,44.0,828691080000.0,280.0,288.814986740618,288.814986740618,288.8360199346937,280.0,286.83160599585375,24
53,Intermodal,1002,Diesel_Large,Hibbing,Allouez,43.0,41.0,828691080000.0,296.47058823529414,305.1281541429441,305.1281541429441,305.1297855964912,296.4705882352942,301.39650354764365,28
57,Intermodal,1002,Diesel_Large,Allouez,Hibbing,41.0,43.0,828691080000.0,326.11764705882354,334.74920712941383,334.74920712941383,334.7576192186083,326.11764705882354,334.9090139408118,32
27,Intermodal,1003,BEL,Allouez,Hibbing,41.0,43.0,8208000000.0,177.88235294117646,186.51317428089578,186.51317428089578,187.39317658489577,177.88235294117646,186.72657255834858,2
35,Intermodal,1003,BEL,Hibbing,Allouez,43.0,41.0,2808004319.996545,207.52941176470588,216.1864980113696,216.1864980113696,218.8240577708916,207.52941176470588,212.4549844475042,10
